HBShp,1,1,0,0,0,0,0,0,0
HBSoc,2,1,3.19,0,0,0,0,0,0.72
HBSchool,3,0,0,0,0,0,1,0,0
HBU,4,0,0,0,0,0,0,1,0
HBO,5,0,0,1,1.28,0.29,0,0,0.47
NHBW,6,1,0,3.47,2.74,0.75,0,0,2.52
NHB,7,1,0,0.92,0,0.31,0,0,0.5
